dur,event,undgrad,phdmed,phdprest,art1,art2,art3,art4,art5,art6,art7,art8,art9,art10,cit1,cit2,cit3,cit4,cit5,cit6,cit7,cit8,cit9,cit10,prest1,prest2,jobtime
8,1,5,0,3.19,3,3,3,3,3,3,4,7,,,8,8,8,8,8,8,14,18,,,3.04,3.04,
5,1,5,0,4.29,1,1,3,5,5,,,,,,6,6,10,17,17,,,,,,1.58,1.58,
6,1,7,1,3.41,7,7,8,9,11,12,,,,,53,53,64,71,85,88,,,,,3.2,3.2,
5,1,7,1,4.34,4,5,9,12,16,,,,,,15,37,79,115,137,,,,,,3.36,3.36,
8,1,4.95,1,2.1,7,7,8,9,9,12,12,15,,,23,23,37,48,48,71,71,75,,,3.2,3.2,
9,1,7,0,4.29,1,1,1,1,1,1,3,3,3,,4,4,4,4,4,4,7,7,7,,2.56,1.9,9
5,1,4.95,1,4.29,4,8,8,10,13,,,,,,55,79,79,82,120,,,,,,2.56,2.72,3
4,1,4.95,0,1.75,2,4,4,7,,,,,,,8,45,45,55,,,,,,,1.98,1.98,
5,1,7,1,4.34,9,9,11,14,15,,,,,,212,212,267,352,356,,,,,,3.52,3.52,
3,1,4.95,0,3.47,7,9,14,,,,,,,,64,64,124,,,,,,,,3.84,1.72,3
6,1,4,1,4.34,5,7,10,12,16,19,,,,,121,154,162,163,259,341,,,,,4.64,4.64,
3,0,4,1,1.25,2,2,2,,,,,,,,7,7,7,,,,,,,,2.08,2.08,
4,1,5,0,4.29,0,1,5,8,,,,,,,0,7,33,46,,,,,,,2.72,2.72,
7,1,7,1,3.62,6,11,15,19,24,28,32,,,,50,74,116,143,155,174,191,,,,2.1,2.1,
5,1,4,0,4.29,2,5,5,6,7,,,,,,31,82,82,90,95,,,,,,1.53,3.84,5
10,0,6,1,3.34,0,3,3,3,4,5,5,5,6,7,0,58,58,58,60,61,61,61,63,65,3.52,2.1,7
5,1,5,0,4.29,2,2,2,2,3,,,,,,5,5,5,5,8,,,,,,2.56,2.56,
5,1,6,1,3.42,1,2,3,5,5,,,,,,4,12,21,61,61,,,,,,1.95,1.95,
6,1,5,1,3.59,19,21,23,26,29,36,,,,,112,131,134,159,163,179,,,,,1.26,1.26,
4,1,2,0,4.29,4,6,7,7,,,,,,,18,150,152,152,,,,,,,3.2,3.2,
4,1,4,0,4.29,3,4,5,8,,,,,,,3,4,6,10,,,,,,,3.2,3.2,
5,0,5,1,2.1,4,5,5,5,5,,,,,,9,10,10,10,10,,,,,,3.04,3.04,
3,1,7,1,1.8,3,5,7,,,,,,,,93,114,121,,,,,,,,1.94,1.94,
10,0,2,0,4.29,4,4,6,6,13,19,22,27,33,35,107,107,114,114,222,270,316,424,505,566,3.04,3.04,
3,1,7,0,3.85,9,13,16,,,,,,,,111,152,164,,,,,,,,3.2,3.2,
8,0,5,1,2.1,1,2,2,4,7,7,9,11,,,18,25,25,32,33,33,36,36,,,2.1,2.1,
4,1,4,1,2.26,4,4,5,5,,,,,,,60,60,67,67,,,,,,,1.94,1.94,
5,1,4,1,4.29,6,6,6,8,11,,,,,,28,28,28,40,53,,,,,,2.12,2.12,
4,1,5,0,4.29,2,2,3,12,,,,,,,6,6,14,39,,,,,,,3.84,3.84,
7,1,4.95,1,3.85,5,6,6,7,8,11,11,,,,42,47,47,51,61,100,100,,,,3.52,3.36,7
5,1,4,1,4.34,3,3,3,4,5,,,,,,39,39,39,44,55,,,,,,1.83,1.83,
5,1,5,1,2.76,5,7,9,11,15,,,,,,13,22,53,62,195,,,,,,2.11,2.11,
10,0,4.95,0,4.29,0,1,1,1,2,3,4,4,4,4,0,1,1,1,3,3,8,8,8,8,3.84,3.84,
4,1,4.95,1,2.58,6,6,7,8,,,,,,,23,23,32,34,,,,,,,2.88,2.88,
4,0,7,1,2.12,1,1,4,4,,,,,,,5,5,16,16,,,,,,,1.84,1,2
6,1,6,0,3.59,3,6,6,8,8,9,,,,,34,84,84,177,177,177,,,,,3.52,2.52,2
6,1,4.95,1,1.81,1,1,1,2,3,4,,,,,4,4,4,4,5,5,,,,,1.94,1.94,
4,1,7,1,3.59,3,3,4,4,,,,,,,15,15,20,20,,,,,,,4.64,4.64,
8,1,7,0,3.85,5,5,6,9,10,11,13,19,,,58,58,67,109,114,118,131,259,,,3.52,3.84,4
5,1,7,1,4.29,5,6,7,9,9,,,,,,43,59,81,92,92,,,,,,1.89,2.56,5
3,0,3,1,1.38,4,8,9,,,,,,,,20,34,46,,,,,,,,1.89,1.89,
